Ticker,Status Akuisisi
BUMI,TIDAK ADA
BNBR,TIDAK ADA
BRMS,TIDAK ADA
DEWA,TIDAK ADA
PADI,TIDAK ADA
TPIA,TIDAK ADA
BIPI,DALAM AKUISISI
DSSA,DALAM AKUISISI
CUAN,TIDAK ADA
BRPT,TIDAK ADA
BBRI,TIDAK ADA
BUVA,TIDAK ADA
BULL,TIDAK ADA
COCO,TIDAK ADA
YELO,TIDAK ADA
EPAC,RENCANA AKUISISI
MBMA,TIDAK ADA
BBRM,TIDAK ADA
BMRI,TIDAK ADA
LPKR,RENCANA AKUISISI
BKSL,RENCANA AKUISISI
KIOS,TIDAK ADA
BBCA,TIDAK ADA
KOTA,RENCANA AKUISISI
TLKM,TIDAK ADA
CSMI,TIDAK ADA
MINA,TIDAK ADA
ELTY,TIDAK ADA
INET,TIDAK ADA
BUKA,TIDAK ADA
MAPI,TIDAK ADA
ENRG,TIDAK ADA
TOOL,TIDAK ADA
RGAS,TIDAK ADA
PSAB,RENCANA AKUISISI
ESSA,TIDAK ADA
PEGE,TIDAK ADA
DEWI,TIDAK ADA
HOKI,TIDAK ADA
IRSX,TIDAK ADA
RAJA,RENCANA AKUISISI
ANTM,RENCANA AKUISISI
UVCR,TIDAK ADA
MDIA,TIDAK ADA
BBNI,TIDAK ADA
VKTR,TIDAK ADA
RBMS,TIDAK ADA
SGER,TIDAK ADA
CDIA,TIDAK ADA
OMED,TIDAK ADA
BEEF,TIDAK ADA
MBTO,TIDAK ADA
AMMN,TIDAK ADA
BBKP,TIDAK ADA
BMTR,TIDAK ADA
KOKA,TIDAK ADA
ERAA,TIDAK ADA
BTEK,TIDAK ADA
MTEL,TIDAK ADA
SMIL,TIDAK ADA
MSKY,TIDAK ADA
AYLS,TIDAK ADA
DMAS,TIDAK ADA
MARK,TIDAK ADA
ESIP,TIDAK ADA
KPIG,TIDAK ADA
PNLF,TIDAK ADA
EMTK,TIDAK ADA
ENZO,TIDAK ADA
GOTO,TIDAK ADA
PTRO,TIDAK ADA
KIJA,TIDAK ADA
BREN,TIDAK ADA
SCMA,TIDAK ADA
PACK,RENCANA AKUISISI
LEAD,TIDAK ADA
NCKL,RENCANA AKUISISI
AYAM,TIDAK ADA
ASPR,TIDAK ADA
WMPP,TIDAK ADA
TOWR,TIDAK ADA
MDKA,TIDAK ADA
ASII,RENCANA AKUISISI
LCKM,TIDAK ADA
KLBF,TIDAK ADA
JGLE,TIDAK ADA
PPRE,TIDAK ADA
GIAA,TIDAK ADA
AMRT,TIDAK ADA
FUJI,TIDAK ADA
SUPA,TIDAK ADA
PWON,TIDAK ADA
BWPT,RENCANA AKUISISI
PGAS,TIDAK ADA
MEDC,TIDAK ADA
KOCI,TIDAK ADA
HOPE,TIDAK ADA
BAIK,TIDAK ADA
WIRG,TIDAK ADA
CYBR,TIDAK ADA
MMIX,TIDAK ADA
SRSN,TIDAK ADA
BSDE,RENCANA AKUISISI
MSIN,TIDAK ADA
RATU,TIDAK ADA
RSCH,TIDAK ADA
HUMI,TIDAK ADA
CMNT,TIDAK ADA
SMLE,RENCANA AKUISISI
NICL,TIDAK ADA
BBTN,RENCANA AKUISISI
VTNY,TIDAK ADA
SLIS,RENCANA AKUISISI
PYFA,TIDAK ADA
ACES,TIDAK ADA
IBOS,RENCANA AKUISISI
BAPA,TIDAK ADA
INDO,RENCANA AKUISISI
NTBK,TIDAK ADA
TINS,TIDAK ADA
GPRA,TIDAK ADA
PMUI,RENCANA AKUISISI
DGWG,TIDAK ADA
FOLK,RENCANA AKUISISI
BCIP,TIDAK ADA
ARCI,TIDAK ADA
DEFI,TIDAK ADA
PADA,TIDAK ADA
INCO,TIDAK ADA
HMSP,TIDAK ADA
FUTR,DALAM AKUISISI
GULA,RENCANA AKUISISI
IATA,TIDAK ADA
KRYA,TIDAK ADA
JPFA,TIDAK ADA
CBRE,DALAM AKUISISI
DOOH,TIDAK ADA
DILD,RENCANA AKUISISI
KJEN,TIDAK ADA
MSJA,TIDAK ADA
UNIQ,TIDAK ADA
MPPA,TIDAK ADA
WBSA,RENCANA AKUISISI
WIFI,TIDAK ADA
GTSI,TIDAK ADA
OASA,TIDAK ADA
MEDS,TIDAK ADA
MIDI,TIDAK ADA
ADRO,TIDAK ADA
UNVR,TIDAK ADA
KETR,TIDAK ADA
HATM,TIDAK ADA
UNTD,TIDAK ADA
ELSA,TIDAK ADA
NPGF,TIDAK ADA
BIPP,RENCANA AKUISISI
ICON,TIDAK ADA
INDY,TIDAK ADA
SEMA,TIDAK ADA
SSMS,DALAM AKUISISI
SDMU,TIDAK ADA
PIPA,TIDAK ADA
EMDE,TIDAK ADA
BDKR,TIDAK ADA
DFAM,TIDAK ADA
MGNA,TIDAK ADA
GSMF,TIDAK ADA
PGEO,TIDAK ADA
OILS,TIDAK ADA
OPMS,TIDAK ADA
RMKE,TIDAK ADA
SNLK,TIDAK ADA
PSKT,TIDAK ADA
KAQI,TIDAK ADA
DKHH,TIDAK ADA
PTBA,RENCANA AKUISISI
SIDO,TIDAK ADA
SMGR,TIDAK ADA
ADMR,TIDAK ADA
CITY,TIDAK ADA
HAJJ,TIDAK ADA
LAJU,TIDAK ADA
DPUM,RENCANA AKUISISI
CPIN,TIDAK ADA
IMPC,TIDAK ADA
GMFI,TIDAK ADA
CTRA,TIDAK ADA
EMAS,TIDAK ADA
ANDI,TIDAK ADA
YOII,TIDAK ADA
SMRA,TIDAK ADA
APLN,TIDAK ADA
BRIS,TIDAK ADA
ISAT,TIDAK ADA
SMDR,TIDAK ADA
MLPL,TIDAK ADA
SQMI,RENCANA AKUISISI
TAXI,TIDAK ADA
TAPG,TIDAK ADA
BSML,TIDAK ADA
NZIA,TIDAK ADA
PRIM,TIDAK ADA
KEEN,TIDAK ADA
MIKA,TIDAK ADA
MPOW,TIDAK ADA
MNCN,TIDAK ADA
BSBK,TIDAK ADA
BABY,TIDAK ADA
TOSK,TIDAK ADA
HRTA,TIDAK ADA
COIN,TIDAK ADA
MIRA,TIDAK ADA
MSIE,TIDAK ADA
BELL,TIDAK ADA
WMUU,TIDAK ADA
WINR,TIDAK ADA
BHIT,TIDAK ADA
KREN,TIDAK ADA
ISAP,TIDAK ADA
FILM,RENCANA AKUISISI
SSIA,TIDAK ADA
BJTM,TIDAK ADA
LAND,RENCANA AKUISISI
AADI,TIDAK ADA
AKRA,TIDAK ADA
VERN,RENCANA AKUISISI
BBYB,TIDAK ADA
BFIN,TIDAK ADA
NAYZ,TIDAK ADA
ASHA,TIDAK ADA
GPSO,TIDAK ADA
DSNG,TIDAK ADA
KUAS,TIDAK ADA
GRPM,RENCANA AKUISISI
BEER,TIDAK ADA
SRTG,DALAM AKUISISI
GZCO,TIDAK ADA
IOTF,TIDAK ADA
CNMA,TIDAK ADA
MCOR,TIDAK ADA
RICY,TIDAK ADA
APEX,TIDAK ADA
MEJA,RENCANA AKUISISI
WIDI,TIDAK ADA
FIRE,TIDAK ADA
AVIA,TIDAK ADA
ACRO,TIDAK ADA
IKAI,TIDAK ADA
HRUM,TIDAK ADA
AGRO,TIDAK ADA
KBAG,TIDAK ADA
BEKS,RENCANA AKUISISI
BJBR,RENCANA AKUISISI
HEAL,TIDAK ADA
LSIP,TIDAK ADA
SIMP,TIDAK ADA
NANO,TIDAK ADA
PART,TIDAK ADA
IDEA,TIDAK ADA
PSDN,TIDAK ADA
KBLV,TIDAK ADA
PTMP,TIDAK ADA
PBRX,TIDAK ADA
INDF,DALAM AKUISISI
MYOR,DALAM AKUISISI
STRK,TIDAK ADA
ASRI,DALAM AKUISISI
TOBA,TIDAK ADA
PPRO,TIDAK ADA
PANI,TIDAK ADA
HOMI,TIDAK ADA
LABA,TIDAK ADA
MGRO,DALAM AKUISISI
BLTA,DALAM AKUISISI
ICBP,DALAM AKUISISI
CTTH,TIDAK ADA
FLMC,RENCANA AKUISISI
ADHI,TIDAK ADA
BAPI,TIDAK ADA
JSMR,TIDAK ADA
KOPI,TIDAK ADA
SMGA,TIDAK ADA
CGAS,RENCANA AKUISISI
PLAN,TIDAK ADA
BMBL,TIDAK ADA
LAPD,RENCANA AKUISISI
FORE,TIDAK ADA
SOCI,TIDAK ADA
BCIC,RENCANA AKUISISI
PURA,TIDAK ADA
TRIN,RENCANA AKUISISI
