Waktu,Harga,Volume
2026-08-20 09:00,1400.0,353800
2026-08-20 09:05,1400.0,353800
2026-08-20 09:10,1400.0,353800
2026-08-20 09:15,1400.0,353800
2026-08-20 09:25,1400.0,353800
2026-08-20 09:20,1400.0,353800
2026-08-20 09:35,1400.0,353800
2026-08-20 09:30,1400.0,353800
2026-08-20 09:45,1400.0,353800
2026-08-20 09:40,1400.0,353800
2026-08-20 09:55,1400.0,353800
2026-08-20 09:50,1400.0,353800
2026-08-20 10:05,1400.0,353800
2026-08-20 10:00,1400.0,353800
2026-08-20 10:15,1415.0,500
2026-08-20 10:10,1415.0,500
2026-08-20 10:25,1415.0,400
2026-08-20 10:20,1415.0,400
2026-08-20 10:35,1415.0,16400
2026-08-20 10:30,1415.0,16400
2026-08-20 10:45,1425.0,44400
2026-08-20 10:40,1425.0,44400
2026-08-20 10:55,1430.0,46300
2026-08-20 10:50,1430.0,46300
2026-08-20 11:05,1425.0,57100
2026-08-20 11:00,1425.0,57100
2026-08-20 11:15,1420.0,63100
2026-08-20 11:10,1420.0,63100
2026-08-20 11:25,1420.0,62900
2026-08-20 11:20,1420.0,62900
2026-08-20 11:35,1420.0,75900
2026-08-20 11:30,1420.0,75900
2026-08-20 11:45,1420.0,69900
2026-08-20 11:40,1420.0,69900
